"IdeaID","meaning","meaningAsm"
"9564","a kind of long hairy caterpillar.","এবিধ দীঘল বৰ ঘণ নোমেৰে বিছা৷ সাধাৰণতে কলগছত পাত খাই থকা দেখা যায়৷"
"9565","a species of hornet.","টেকেলিৰ নিচিনা বাহ সাজি থকা ডাঙৰ কোদো৷"
"9566","referring to marriage and other celebrations of religious (and cultural, social) significance together. ","বিয়া, সবাহ আদি ধৰ্মীয়, সামাজিক আৰু সাংস্কৃতিক অনুষ্ঠানক একেলগে সাঙুৰি লোৱা৷"
"9567","bad or unwise rule or administration by the administrative authority.",
"9568","a collection of ships or boats.","নাও বা জাহাজৰ শাৰী৷"
"9569","in spite of everything; without regard to drawbacks",
"9570","an estimate of expected income and planing of expense for a given period in the future.",
"9571","A person who sticks to and irritates for long. ","আমনি লাগি যোৱাকৈ লাগি থকা মানুহ।"
"9572","Put into practice or a particular use.","অনুশীলন আৰু নিৰ্দিষ্ট ব্যৱহাৰত প্ৰয়োগ কৰা বিষয়ক৷"
"9573","a variety of large gram like a bengal gram.","এবিধ ডাঙৰ বুটমাহ৷"
"9574","A tree frog is any frog that spends a major portion of its lifespan in trees, known as an arboreal state.",
"9575","A kind of wild plant with a brunch of sting fruit used as a pot-herb .","সৰু সৰু হুলৰে থোপাথোপিকৈ লগা এবিধ সৰু উদ্ভিদ ৷ ইয়াক লাওপানী বা সাজপানী তৈয়াৰীত ব্যৱহাৰ কৰা হয় ৷"
"9576","the action of pressing the button of a computer mouse.","Additional Parameters: pfx=.sfx1=.sfx2=.wrd=ক্লিক্"
"9577","[1] a South-Indian language spoken mainly in Andhra Pradesh; the state language of Andhra Pradesh.
[2] The speakers of the language.","অন্ধ্ৰ প্ৰদেশৰ মূল ভাষা আৰু সেই ভাষা কোৱা লোকসকল৷"
"9578","(describing something) in an exhaustive manner that is covering all minute details","অতি বহলকৈ সকলোবোৰ বৰ্ণনা দি (কোনো কথা কোৱা)"
"9579","A large package or carton of goods.","বস্তু-বাহানিৰ ডাঙৰ মেটমৰা টোপোলা ৷ "
"9580","Fibrous scrapings of cane, bamboo etc. produced during wickerwork.","কাঠী, কামী আদি চাঁচোঁতে ওলোৱা অনাৱশ্যকীয় আৰু পেলাই দিয়া মিহি জাৱৰ ৷"
"9581","To fasten or restrict with or as if with a rope.","মুকলি-মূৰে চৰিব পৰাকৈ এৰালেৰে বান্ধি থ ৷"
"9582","Omission or suppression of parts of words or sentences.","ব্যাকৰণৰ নিয়মমতে লুকাই থকা বা প্ৰকাশ নোহোৱা কথা লগাই বা পূৰ্ণ কৰি লিখা৷"
"9583","the fleshy skin under the throat of an ox or cow.","গাই বলধ আদিৰ ডিঙিৰ তলত ওলমি থকা মাংসযুক্ত বিচনীৰ দৰে ছাল ৷"
"9584","the fleshy skin under the throat of an ox or cow.","গাই বলধ আদিৰ ডিঙিৰ তলত ওলমি থকা মাংসযুক্ত বিচনীৰ দৰে ছাল ৷"
"9585","the edible root of a kind of grass growing in paddy field.","দ মাটিত ঘাইকৈ পথাৰত হোৱা এবিধ বনৰ সৰু সুস্বাদু আলু ৷"
"9586","A small fish.","পুঠি মাছৰ নিচিনা বাকলি থকা, বগা, চেপেটা, মূৰটো অলপ ভাঁজ লোৱা এবিধ সৰু মাছ।"
"9587","Dinosaurs were the dominant vertebrate animals of terrestrial ecosystems for over 160 million years, from the late Triassic period (about 230 million years ago) until the end of the Cretaceous period (65 million years ago), when most of them became extinct in the Cretaceous–Tertiary extinction event.","পৃথিৱীত বহু কোটি বছৰৰ পূৰ্বে বিচৰণ কৰা ডাঙৰ আকাৰৰ সৰীসৃপজাতীয় প্ৰাণী৷"
"9588","the Assamese nasal letter ং ৷","অসমীয়া এটা অনুনাসিক ধ্বনি (ং)৷ নাসিক্য বৰ্ণ ঙ-ৰ সলনি ব্যৱহাৰ হয়৷ "
"9589","the soft aspirate marked by two dots placed one above the other.","এটা কোমল অসমীয়া মহাপ্ৰাণ বৰ্ণ৷ স্বৰবিলাকৰ শেষৰটো আখৰ৷ যেনে- ঃ"
"9590","a woman who breast feed a newborn in place of mother. She also takes important role in performing rituals associated with birth in Dimasa society; foster mother","মাকৰ সলনি কেঁচুৱাক নিজৰ স্তনৰ গাখীৰ খুউৱা এগৰাকী মহিলা।"
"9591","by making a sound like thunder","মেঘৰ গাজনিৰ দৰে শব্দ কৰি"
"9592","The embryophytes are the most familiar group of fern plants. Mostly used in Jara-Fuka.","বিশেষকৈ জৰা-ফুঁকা কৰিবৰ বাবে ব্যৱাহৰ কৰা এবিধ ঢেঁকীয়া জাতীয় উদ্ভিদ ৷ "
"9593","A medium size bird [13 in (33 cm); 3.6 oz (104 g)] with banded trails, bars on the abdomen and flanks. It has loud, shrieking call, often heard singing at night with a bright moon. Can be found in India, Nepal, Bangladesh, Myanmar, and Sri Lanka. It feeds in insects, including caterpillars, termites, grasshoppers, beetles; they also eat fruits and berries. Arboreal and secretive foragers.","অসমীয়া জনজীৱনৰ এটি চিনাকী চৰাই"
"9594","dedication of oneself to a chosen path or pursuit.","নিজে বাছি লোৱা পথ বা পন্থা অৱলম্বন কৰা৷ "
"9595","Titmice (or simply Tits), are referred to in Northern America as Chickadees as well. In summer they fly about rather unnoticed but as soon as winter comes you will see them virtually everywhere. A number of species can become really tame. Tits are intelligent birds that over the years adapted themselves to the changing environment. For instance they learned how to open milk bottles to get to the tasty cream on top of the milk. Most Titmice are resident birds that don\'t migrate at all or if they do its over short distances only. The best known Tit is perhaps the Great Tit. Like most Tits this is a hole nesting bird. It often competes with the Blue Tit over the ownership of a good nesting hole. And because the Great Tit is just a tiny bit bigger (and stronger) it usually triumphs. All titmice eat insects, spiders and larvae in spring and summer, but switch to berries and nuts once winter approaches. ","শীত কালত দেখা এবিধ সৰু কলা বগা চৰাই৷"
"9596","A large tree having sinewy, fluted stems and branches with a mottled appearance that arises from having bark that sheds throughout the year. The leaves are opposite, simple, with entire margins, and vary from 5-20 cm (2-8 in). While all species are woody in nature, they can range in height from over 100 feet to under one foot.
Flowers are borne in summer and autumn. Colours vary from deep purple to red to white, with almost every shade in between. The fruit is a capsule, green and succulent at first, then ripening to dark brown or black dryness. The timber of some species has been used to manufacture bridges, furniture and railway sleepers.","এবিধ উদ্ভিদ, বসন্ত কালত ফুলে, ফুলবোৰৰ ৰঙ বেঙুনীয়া৷"
"9597","A aromatic flower that blossoms in the Spring.","বসন্ত কালত অতি সুগন্ধি ফুল ধৰা এবিধ বনৰীয়া লতা৷"
"9598","A voice with high decibel (intensity).","ডাঙৰকৈ কোৱা কথা ৷"
"9599","done more than once, but not too many times.",
"9600","Elder son of the lord Siva. A beautiful God among all the gods.","শিৱৰ বৰপুত্ৰ ৷ সকলো দেৱতাৰ ভিতৰতে দেখিবলৈ ধুনীয়া ৷"
"9601","Spoken or written with ease or without hesitation.","খোকোজা নলগাকৈ অনৰ্গল কৈ থকা বিষয়ক৷ "
"9602","A grant of land given by kings to Brahmans for sustenance.","ৰজাই ব্ৰাক্ষ্মণক দান কৰা ভূমি ।"
"9603","The last drops of water or milk given to a person at the dying moment.","মৰণ কালত মানুহৰ মুখত দিয়া গাখীৰ বা পানী ।"
"9604","a shallow narrow boat with pointed ends, propelled with a paddle.","দুমূৰ জোঙা,দীঘলীয়া সৰু নাও ।সাঘাৰণতে ইয়াক গোটা এডাল কাঠৰ পৰা সজা হয় ।"
"9605","speaking or behaving with respect and dignity","সন্মান আৰু নম্ৰতাৰে সৈতে ভাৱ বিনিময় কৰা বিষযক৷"
"9606","The Chenab River is formed by the confluence of the Chandra and Bhaga rivers at Tandi located in the upper Himalayas in the Lahul and Spiti District of Himachal Pradesh, India. In its upper reaches it is also known as the Chandrabhaga. It flows through the Jammu region of Jammu and Kashmir into the plains of the Punjab. Length of the Chenab is approximately 960 kilometres.","হিমাচল প্ৰদেশৰ লাহোল আৰু স্পিতি জিলাৰ তাণ্ডিত “চন্দ্ৰ” আৰু “ভাগা” নামৰ দুটা সুঁতি লগ লাগি চন্দ্ৰভাগা নদীৰ উত্পত্তি হয় ৷ তাৰ পাচত এই নদী জম্মু আৰু কাশ্মীৰ হৈ পাঞ্জাৱৰ মাজেৰে বৈ গৈ পাকিস্তানত সোমায় ৷ চন্ৰভাগা নদীৰ দৈঘ্য প্ৰায়ে ৯৬০ কি, মি, ৷"
"9607","A string bag used for carrying burdens suspended from either end of a pole placed on the shoulder.","এবিধ ৰছীৰে সঁজা মোনা ৷ মানুহে ইয়াক বিৰিয়াৰ দুই মুৰে বান্ধি কান্ধত বোজা কঢ়িয়াবৰ বাবে ব্যৱহাৰ কৰে ৷"
"9608","Small dry ginger pieces people use as a mouth refreshner.","মানুহে মুখ শুদ্ধিৰ বাবে ব্যৱহাৰ কৰা সৰু সৰু শুকান আদাৰ টুকুৰা ৷"
"9609","The Albizia lebbeck tree is used for shadow, specially in the tea garden. It is often simply called \""siris\"" though this name may refer to any locally common member of the genus. It is a tree growing to a height of 18-30 m tall with a trunk 50 cm to 1 m in diameter. The leaves are bipinnate, 7.5–15 cm long, with one to four pairs of pinnae, each pinna with 6–18 leaflets. The flowers are white, with numerous 2.5–3.8 cm long stamens, and very fragrant. The fruit is a pod 15-30 cm long and 2.5-5.0 cm broad, containing six to twelve seeds.

","এডাল পুলুঙা পাতল ঠালঠেঙুলি থকা গছ৷ সাধাৰণতে চাহ বাগানত ছাঁ দিবৰ বাবে এই বিধ গছ ৰোৱা হয় ৷"
"9610","A national anthem is a generally patriotic musical composition that evokes and eulogizes the history, traditions and struggles of its people, recognized either by a nation\'s government as the official national song, or by convention through use by the people.","কোনো এটা জাতিৰ স্বীকৃতিপ্ৰাপ্ত স্তুতিগীত বা জাতিৰ ভাৱপূৰ্ণ সংগীত৷"
"9611","Impatiens balsamina is a species of Impatiens native to southern Asia in India and Myanmar.It is called kamantigue in the Philippines. It is an annual plant growing to 20–75 cm tall, with a thick, but soft stem. The leaves are spirally-arranged, 2.5–9 cm long and 1–2.5 cm broad, with a deeply toothed margin. The flowers are red, pink, purple, or white, and 2.5–5 cm diameter; they are pollinated by bees and other insects, and also by nectar-feeding birds. Different parts of the plant are used to treat disease and skin afflctions; the leaves, seeds, and stems are also edible if cooked. ","কোমল ৰঙচুৱা কাণ্ডৰ, বহল সেউজীয়া পাতৰ, মহুৰা আকৃতিৰ সিৰযুক্ত ফলৰ গছ৷ ফল ফাটিলে আগটো ঘেৰখাই কেৰুৰ আকৃতি হয়৷ ল’ৰা-ছোৱালীয়ে তাক কাণত পিন্ধি ধেমালি কৰে৷"
"9612","The supreme and most sacred syllable, consisting in Sanskrit of the three sounds (a), (u), and (m), representing various fundamental triads and believed to be the spoken essence of the universe. It is uttered as a mantra and in affirmations and blessings. this mantric word thought to be a complete expression of Brahman and interpreted as having three sounds representing Brahma or creation, Vishnu or preservation, and Siva or destruction, or as consisting of the same three sounds, representing waking, dreams, and deep sleep, along with the following silence, which is fulfillment.","বেদৰ মূল মন্ত্ৰ৷ ঈশ্বৰৰ স্ৰজন, পালন আৰু সংহৰণ এই তিনি শক্তি বুজোৱা শব্দ৷ ‘অ’, ‘উ’ আৰু ‘ম’ এই তিনিটা ধ্বনি মিলি ওঁ হৈছে৷ ‘অ’ মানে পালন কৰ্তা বিষ্ণু, ‘উ’ মানে সংহাৰ কৰ্তা শিৱ, আৰু ‘ম’ মানে সৃষ্টি কৰ্তা ব্ৰহ্মা৷ সৃষ্টি, স্থিতি আৰু পলয়ৰ অধিকাৰী পৰম ঈশ্বৰৰ স্বৰূপক ‘প্ৰণৱ’  ওঁ শব্দই একে আখৰৰে চমুকৈ এক মূৰ্হুত্বতে বিজ্ঞাপন কৰে দেখি ওঁ পৱিত্ৰ আৰু জপৰ বিধান৷ "
"9613","the fromantated juice of the palm or date.   ","তাল বা খেজুৰৰ পৰা তৈয়াৰ কৰা এবিধ পাতল নিচাযুক্ত পানীয় ৷"
"9614","a number of haire fastened or closely grouped together","মাজ মুৰত অকনমান পাছফাললৈ থকা চুলিৰ দীঘলীয়া কোছা ৷"
"9615","Ketaki is a densely branched shrub. It is rarely erect and is generally found along the coast of India and the Andaman islands. The stem is usually up to 6 m high. It is always supported by aerial roots. The tree is considered a good soil binder. Leaves are glacicous-green in colour ensiform and pointed. There are spines on margins and midriff of the leaves.","এবিধ কাইট থকা উগ্ৰ গন্ধযুক্ত ফুল৷"
"9616","Kali is a Hindu goddess associated with death and destruction. In Kali\'s most famous myth, Durga and her assistants, Matrikas, wound the demon Raktabija, in various ways and with a variety of weapons, in an attempt to destroy him. They soon find that they have worsened the situation, as for every drop of blood that is spilt from Raktabija the demon reproduces a clone of himself. The battlefield becomes increasingly filled with his duplicates.Durga, in dire need of help, summons Kali to combat the demons. It is also said that Goddess Durga takes the form of Goddess Kali at this time. Kali destroys Raktabija by sucking the blood from his body and putting the many Raktabija duplicates in her gaping mouth. Pleased with her victory, Kali then dances on the field of battle, stepping on the corpses of the slain. Her consort Shiva lies among the dead beneath her feet, a representation of Kali commonly seen in her iconography as Daksinakali\'","শিৱৰ ভাৰ্যা, দুৰ্গাৰ এক মূৰ্তি৷ এই মূৰ্তি ক’লা, চতুৰ্ভুজ উলংগ আৰু সদাশিৱৰ বুকুত থিয় হৈ থাকে৷ ৰক্তবীজ নামৰ অসুৰক বধ কৰিবৰ কাৰণে দুৰ্গাই সেই ৰূপ ধাৰণ কৰাত তেওঁৰ খোজত পৃথিৱী বহি যোৱা দেখি মহাদেৱে তেওঁক বুকু পাতি ধৰে৷"
"9617","a long handle fishing Spear.","মাছ খুচি ধৰিবলৈ ধৰিবলৈ ব্যৱহাৰ কৰা জোঙা মূৰৰ লোৰ আগ থকা এবিধ দীঘল বাঁহৰ যতন৷"
"9618","a four cornered vehicle carried on man\'s shoulders used by the Gosains of Assam.","গোঁসাইসকল উঠি ফুৰা চাৰিচুকীয়া দোলা৷"
"9619","a flock of sheep blindly following the leading sheep.","এটা ভেৰাৰ পিচে পিচে অন্ধভাৱে যোৱা ভেৰাৰ পাল৷"
"9620","the kalti is term denoting the price paid, earlier in kind and at present in currency by the father of the bride-groom to the bride's family. The fixation of the kalti is done ritualistically and based on tradition, not on demand. ","দৰাৰ পিতাকে কইনাৰ পৰিয়ালক দিয়া মূল্য (আগেয়ে বয়-বস্তুৰে আৰু বৰ্ত্তমান সময়ত টকাৰ ৰূপত)। এই মূল্য পাৰম্পৰিক আচাৰৰ জড়িয়তে নিৰ্দ্ধাৰণ কৰা হয়, দাবী কৰি নহয়। "
"9621","A cross symbol made of two bamboo strips. An individual villager intending to use a strip of land for agricultural purpose will plant it within the notified village boundary and not earlier claimed by anybody else, thereby informing all other co-villagers of his intention.",
"9622","An acute streptococcal infection characterized by deep-red inflammation of the skin and mucous membranes","চাল উখহি ৰঙা হোৱা এবিধ ভাইৰাছজনিত ৰোগ ৷  "
"9623","Deodar or Debadaru; is a species of cedar native to the north-central Himalayas of India (Himachal Pradesh, Uttarakhand and Kashmir), Tibet and western Nepal, occurring at 1500-3200 m altitude. It is a evergreen tree. The leaves are needle-like. Reaching 40-50 m tall, with a trunk up to 3 m diameter. It has a conical crown with level branches. ","দেৱদাৰু, ই এবিধ আকৃতিত মেজি ঘৰটোৰ দৰে জোঙা হৈ ক্ৰমে ওপৰলৈ আগবঢ়া চিৰসেউজীয়া গছ ৷ হিমালয়ৰ উত্তৰআঞ্চল,  তিব্বত আৰু নেপালত ১৫০০ মি,-৩২০০ মি, উচ্ছতাত এই গছবিধ হোৱা দেখিবলৈ পোৱা যায় ৷ ইয়াৰ পাতবোৰ বেজিৰ দৰে জোঙা ৷"
"9624","A word used to make an elephant kneel down.","হাতীক আঁঠু কঢ়াবলৈ মতা মাত৷"
"9625","A length of the thumb and the forefinger when both are extended. ","বুঢ়া আঙুলি আৰু তৰ্জনী আঙুলি বহলাই মেলি দিলে হোৱা দৈৰ্ঘ্য ৷ এক সাধাৰণ পৰিমাণৰ দৈৰ্ঘ্যৰ একক ৷ "
"9626","Hanuman, known also as \'Anjaneya\' (son of Anjana) is one of the most popular concepts of devotees of God (bhakti) (devotion to God) in Hinduism and one of the most important personalities in the Indian epic, the Ramayana. His most famous feat, as described in the Hindu epic scripture the Ramayana, was leading an army of monkeys to fight the demon King Ravana.","বায়ু দেৱতাৰ দ্বাৰা অঞ্জনা নামে এজনী বান্দৰীৰ গৰ্ভত জন্ম হোৱা এটা বান্দৰ৷ হিন্দু ধৰ্মৰ মহাকাব্য ৰামায়ণত ৰামচন্দ্ৰৰ হৈ ৰাৱণৰ বিপক্ষে যুদ্ধ কৰে আৰু ৰাম ভক্ত হিচাপে সকলোৰে পূজনীয় হয়৷"
"9627","Ravana was ten-headed, twenty-armed mythical king of ancient Sri Lanka. with great supernatural power, who is said to have ruled Lanka about 6000 years ago. He plays a major role in Hindu mythology, especially in the Ramayana, where he is mainly depicted negatively as a brute, and most infamously as having kidnapped Rama\'s wife Sita and being killed by her husband.","ৰামায়নত থকা লংকাৰ এজন ৰাক্ষসৰ ৰজা৷ দহটা মূৰ আৰু বিশখন হাত আছিল আৰু সীতাক অপহৰণ কৰাৰ বাবে ৰামচন্দ্ৰৰ হাতত মৃত্যু হয়৷"
"9628","Dasaratha in Hindu mythology is the king of Ayodhya and a descendant of Raghuvamsa. He is the father of Lord Rama, the heroic prince who is considered an avatar of Vishnu in the epic Ramayana.","সূৰ্যবংশীয় এজন অযোধ্যাৰ ৰজা আৰু ৰামচন্দ্ৰৰ বাপেক৷"
"9629","Sita is the wife of Rama the principal characters in the Ramayana, Sita was a foundling, discovered in a furrow in a ploughed field, and for that reason is regarded as a daughter of Bhudevi, the Goddess Mother Earth. She was found and adopted by Janaka, king of Mithila.","মিথিলাৰ ৰজা জনকৰ (তোলনীয়া)জীয়েক আৰু ৰামচন্দ্ৰৰ ভাৰ্যা৷ জনক ৰজাই নাঙলৰ সীৰলুত সীতাক লাভ কৰে৷"
"9630","the name of a king of Mithila and the father of Sita.","মিথিলা দেশৰ এজন ৰজা আৰু সীতাৰ বাপেক৷"
"9631","Syed Abdul Malik (1919-2000) was one of the most widely known and popular writers in Assamese literature. Beginning his literary career in the early forties he enriched Assamese literature with short stories, novels, poetry and other writings spanning over five decades. Syed Abdul Malik authored as many as 50 novels, 25 short story collections, five poetry collections, three children’s books, 20 dramas and many books on various topics. He was the President of Axom Xahitya Xabha in 1977.He won many literary awards, including Sahitya Academy (1972) for novel \""Aghari Atmar Kahini\"", Assam valley Literary award ( 1992), Sankardev award (1995) and was also recognised with the Padma Shri and Padma Bhushan. He had also written a large number of plays for All India Radio (AIR).","চৈয়দ আব্দুল মালিক (১৯১৯-২০০০) অসমীয়া সাহিত্যৰ এজন বিশিষ্ট গল্পকাৰ, ঔপন্যাসিক, নাট্যকাৰ আৰু কবি৷ তেওঁ ২৫ খনৰো অধিক চুটিগল্প সংকলন, ৫০ খনতকৈ অধিক উপন্যাস, পাঁচখন কবিতা সংকলন, তিনিখন শিশু সাহিত্য আৰু ২০ খন মঞ্চ অনাতাঁৰ নাট আৰু অলেখ প্ৰৱন্ধ ৰচনা কৰিছিল৷ তেওঁ ১৯৭৭ চনত অসম সাহিত্য সভাৰ সভাপতি হয়৷ তেওঁ \""অঘৰী আত্মাৰ কাহিনী\"" উপন্যাসৰ বাবে ১৯৭২ চনত সাহিত্য একাডেমী বঁটা লাভ কৰাৰ উপৰিও ১৯৯২ চনত অসম উপত্যকা বঁটা, ১৯৯৫ চনত শংকৰদেৱ বঁটা আৰু \""পদ্মশ্ৰী\"" \""পদ্মভূষণ\"" সন্মান লাভ কৰে৷"
"9632","A spices of grass wich root is round & used as a medicine. Generally it is grown in front of the courtyard. ","এবিধ চোঁতালত হোৱা মুথা-জাতিৰ বন৷ ইয়াৰ শিপাৰ আকৃতি প্ৰায়ে গোল আৰু ইয়াক দৰবত ব্যৱহাৰ কৰা হয়৷"
"9633","A word used to make an elephant rais from a kneeling posture.","হাতীক আঁঠু কঢ়াৰ পৰা উঠিবলৈ কোৱা শব্দ ৷"
"9634","A kind of thorny tree or shrub. It has a pairs of thorns at the base of each leaf and small round shaped yellow coloured flower with soft sting. 
","সৰু সৰু কোমল শুঙযুক্ত  ঘূৰণীয়া আৰু হালধীয়া ৰঙৰ ফুল ধৰা এবিধ কাঁইটীয়া গছ ৷ ইয়াৰ ফুলৰ আকৃতি কদম ফুলৰ দৰে বাবে ইয়াক তৰুৱা কদম কোৱা হয়৷ "
"9635","The Kadam tree grows up to 45 m high with a trunk diameter of 100-160 cm, Leaves are 13-32 cm long. Kadam flowers are yellow in coloured and globe-like with soft sting.","ওখ ডাঙৰ গা গছৰে ওলোটা ওভোতাকৈ বিপৰীতমুখী ডাল ধৰা এবিধ গছ ৷ ইয়াৰ পাত ডাঙৰ আৰু দীঘল ৷ ফুলবোৰ হালধীয়া আৰু কোমল শুঙযুক্ত বল আকৃতিৰ ৷"
"9636","A reach or straight portion of river.","নৈৰ এটা ভাঁজৰ পৰা আনটো ভাঁজলৈ পোন ভাগ ৷"
"9637","An abandoned channel of river.","নৈয়ে এৰি যোৱা পানী থকা সুঁতি ৷"
"9638","A big mouth fish like a Climbing fish . ","এবিধ বহল মুখৰ কাৱৈ জাতীয় মাছ ৷"
"9639","To maintain or advocate a theory or a person","কোনো তত্ত্ব বা ব্যক্তিৰ সপক্ষে থিয় হ"
"9640","The king who is the regent of death; The Hindu deity of death.","মৃত্যুৰ অধিপতি দেৱতা ৷"
"9641","A male goat who does not lose the functions of the testes.","যি মতা ছাগলীৰ অণ্ডকোষ অক্ষত অৱস্হাত থাকে৷ অৰ্থাত যৌন ক্ষমতা অটুত থাকে ৷ "
"9642","A long handel hammer made of wood  used in breaking clods.","দীঘল বাঁহৰ নালেৰে শষ্য পথাৰত দলিচপৰা ভাঙিবলৈ ব্যৱহাৰ কৰা এবিধ হাতুৰী ৷"
"9643","a carriage which is positioned on the back of an elephant, or occasionally some other animal, used most often in the past to carry wealthy people or for use in hunting or warfare.","চিকাৰ কৰিবলৈ বা ভ্ৰমন কৰিবলৈ হাতীৰ গাদীৰ ওপৰত পৰা কাঠৰ সুখাসন৷"
"9644","an attempt to effect a peaceful settlement between disputing nations through the friendly good offices of another power.","কোনো বিবাদৰ ক্ষেত্ৰত শান্তিপূৰ্ণ সমাধানৰ বাবে মাজত থকা অৱস্থা৷"
"9645","a post supporting a crossbar and, with it, forming the goal on a playing field in certain sports, as football or hockey.","ফুটবল, হকী আদি খেলত লক্ষ্য বিন্দুত উপনিত হ’বলৈ খেলপথাৰত দুয়োফালে পোতা কাঠ বা বাঁহৰ ফ্ৰেম৷"
"9646","The chestnut-tailed starling or grey-headed myna (Sturnia malabarica) is a member of the starling family of perching birds. It is a resident or partially migratory species found in wooded habitats in India and Southeast Asia",
"9647","a threatening to reveal substantially true information about a person to the public, a family member, or associates unless a monetary demand is met.","কোনো ব্যক্তিৰ গোপনীয় কথা ফাদিল কৰা ভয় দেখুৱাই অৰ্থৰ দাবী কৰা কাৰ্য৷"
"9648","the space or opening into which a ball must go to score points, usually a pair of posts with a crossbar and often a net.","ফুটবল, হকী আদি খেলত লক্ষ্য বিন্দুত উপনিত হ’বলৈ দুটা নিৰ্দিষ্ট জোখৰ খুটাৰ মাজত সোমোৱা বল৷"
"9649","to amuse a child  (applicable only for child)","ধেমালি কৰি সৰু লৰা ছোৱালীৰ মনত আনন্দ জগোৱা "
"9650","Pods are long rather round or flat fruit. Generally it grows up in a creeper plants like peas, beans etc. these are edible. Peacock tree, Flea Tree, Golden shower tree also produced pod, but these are not edible. ","কোনো কোনো গছৰ দীঘলীয়া অথচ চেপেতা বা গোটা ফল ৷ পৈণত অৱস্হাত ইয়াৰ ভিতৰত সৰুৰ পৰা মজলীয়া বিধৰ গুটি হয় ৷ ইয়াৰে কিছুমান ফল (ছিৰা) খাদ্য হিচাবে ব্যৱহাৰ কৰা হয় যেনে; লেছেৰা, মটৰ, উৰহী ইত্যাদি৷ অন্যহাতে কৃষ্ণচূড়া, শিৰীষ বা সোণাৰুৰ ফল (ছিৰা) খাদ্যৰ উপযোগী নহয়৷"
"9651","A fly of genus Hypoderma. It is slightly larger than house fly and are parasitic on cattle. Adults are large, hairy, bee-like and brown.
","গৰু মহ আদিৰ তেজপিঁয়া ঘৰুৱা মাখিতকৈ অলপ ডাঙৰ বিধৰ মাখি ৷"
"9652","a device for slowing or stopping motion, as of a vehicle.","চলন্ত গাড়ী, মেচিন আদি ৰখোৱা যান্ত্ৰিক আহিলা৷"
"9653","a device, especially the gas pedal of a motor vehicle, for increasing speed.","মটৰ গাড়ীৰ গতি বৰ্দ্ধন কৰা যান্ত্ৰিক আহিলা৷"
"9654","A branched, slender-stemmed perennial vine. The leaves are arranged in opposite pairs along the stems and are heart-shaped or triangular with an acute tip and a broad base. Leaves may be 4-13cm long. Once established, Mikania micrantha spreads at an alarming rate, readily climbing and twining on any vertical support, including crops, bushes, trees, walls and fences. Its shoots have been reported to grow up to 27mm a day. Mikania micrantha damages or kills other plants by cutting out the light and smothering them.","এবিধ সেউজীয়া লতা জাতিয় অপতৃণ৷ হাবি-জংঘলত এইবিধ লতাই এখন ডাঠ দলিচাৰ সৃষ্টি কৰি সূৰ্য্যৰ ৰশ্মি পৰাত বাধা দিয়ে আৰু অন্য উদ্ভিদক ধ্বংস কৰে৷ এই লতাৰ বংশবৃদ্ধি অতি দ্ৰুত গতিত হয়৷"
"9655","Parthenium Hysterophorus is an herbal plant and a weed species. It is also known as congress weed or congress grass, has become a common weed in India, Australia and parts of Africa. Parthenium is an aggressive weed invading all disturbed land, including farms, pastures, and roadsides. Contact with this plant causes dermatitis and respiratory malfunction in humans, dermatitis in cattle and domestic animals, it causes health hazards such as skin allergy, hay fever and asthma in human beings and is toxic to livestock.","অবিধ অতি নিকৃষ্ট অপতৃণ৷ ভাৰতবৰ্ষকে ধৰি অষ্ট্ৰেলীয়া আফ্ৰিকা আদি দেশত ইয়াক পোৱা যায়৷ এই বিধ উদ্ভিদ জনস্বাস্থ্যৰ বাবে অতি ক্ষতিকাৰক৷ বিশেষকৈ ইয়াৰ ফলত মানুহৰ চৰ্মৰোগ হোৱা দেখা যায়৷ এই অপতৃণৰ বাবে মানুহ আৰু জীৱ-জন্তু উভয়ৰে ’হে ফিভাৰ’ (Hay fever) নামৰ এবিধ ৰোগ হয়৷ "
"9656","A certificate or document which certify or signature by any higher officers to produce any examination or jobs.","কোনো পৰীক্ষা বা চাকৰিৰ বাবে বিশ্বস্ত লোক বা উচ্চপদস্থ বিষয়াই প্ৰমাণিত কৰি দিয়া স্বাক্ষৰযুক্ত (নথিপত্ৰ আদি)"
"9657","a strip around the edge of a piece of a cloth .","কাপোৰৰ দাঁতি বা মোখনি । যেনে,চুৰিয়াৰ আউঠি ।"
"9658","Kabaddi is a team sport originally from the Indian subcontinent. Two teams occupy opposite halves of a field and take turns sending a \""raider\"" into the other half, in order to win points by tagging or wrestling members of the opposing team; the raider then tries to return to his own half, holding his breath during the whole raid.","দুটা দলৰ মাজত খেলা এবিধ খেল৷ একে উশাহতে প্ৰতিপক্ষৰ ক্ষেত্ৰত সোমাই ঘুৰি অহা বা প্ৰতিপক্ষৰ কোনো খেলুৱৈক চুই অহাৰ ওপৰতে নম্বৰ নিৰ্দ্ধাৰণ কৰা হয়৷"
"9659","A young chicken before becoming hen",
"9660","A bright blue colored valuable gemstone of the mineral corundum. The basic composition of the gemstone is Aluminium oxide (α-Al<sub>2</sub>O<sub>3</sub>) with trace amount of Iron.","এবিধ নীলা বৰণৰ উজ্বল মূল্যৱান মণি ৷ ইয়াত মূলতঃ এলুমিনিয়াম অক্সাইড (α-Al<sub>2</sub>O<sub>3</sub>) আৰু সামান্য পৰিমানে লৌহ পদাৰ্থ থাকে ৷"
